# SPSA Success Log
t=2550 | iter=1 | score=150.0 | phase=plus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3089 | iter=1 | score=114.1 | phase=minus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3389 | iter=2 | score=135.1 | phase=plus | theta=[0.1200, 0.1406, 0.4519, 0.6750, 0.0010]
t=3968 | iter=2 | score=126.5 | phase=minus | theta=[0.1200, 0.1406, 0.4519, 0.6750, 0.0010]
t=4265 | iter=3 | score=134.1 | phase=plus | theta=[0.1200, 0.0692, 0.3805, 0.6179, 0.0010]
t=5408 | iter=4 | score=114.5 | phase=plus | theta=[0.0010, 0.0010, 0.0010, 1.0000, 0.0010]
t=5831 | iter=4 | score=120.4 | phase=minus | theta=[0.0010, 0.0010, 0.0010, 1.0000, 0.0010]
t=6212 | iter=5 | score=122.3 | phase=plus | theta=[0.0010, 0.0010, 0.0527, 0.9587, 0.0423]
t=7612 | iter=6 | score=112.0 | phase=plus | theta=[0.1200, 0.5000, 0.0010, 1.0000, 0.0010]
t=8330 | iter=6 | score=115.2 | phase=minus | theta=[0.1200, 0.5000, 0.0010, 1.0000, 0.0010]
t=9105 | iter=7 | score=114.2 | phase=plus | theta=[0.1200, 0.5000, 0.0010, 1.0000, 0.0243]
t=9776 | iter=8 | score=113.6 | phase=plus | theta=[0.1200, 0.5000, 0.0010, 1.0000, 0.0010]
