"iter","t","f_plus","f_minus","score_mean","diffusion_speed_SAMPs","add_SAMPs","SAMPs_decay","treg_discrimination_efficiency","activation_threshold_SAMPs"
1,3392,41.9870775347913,57.8372093023256,49.9121434185584,0.12,0.296524478560773,0.049710359497235,0.799785926859782,0.0757404458688616
2,3564,62.2117647058823,62.3333333333333,62.2725490196078,0.12,0.297531313440946,0.0487035246170622,0.80059139476392,0.0765459137729999
3,3740,50.9756097560975,53.8936170212766,52.4346133886871,0.12,0.272501499613952,0.0737333384440565,0.820615245825515,0.0965697648345953
4,3919,71.9310344827586,67.4782608695652,69.7046476761619,0.0887259155714102,0.311594105149689,0.112825943979794,0.851889330254105,0.127843849263185
5,4155,53.2365591397849,56.9160839160839,55.0763215279344,0.115006301829788,0.344444587972662,0.0799754611568211,0.825608943995727,0.101563463004807
6,4371,57.3181818181818,57.1071428571428,57.2126623376623,0.116532889623547,0.346352822714861,0.08188369589902,0.824082356201968,0.103090050798566
7,4595,62.4204545454546,56.1838235294118,59.3021390374332,0.12,0.403307045681154,0.0249294729327262,0.869645734575003,0.0575266724255311
8,4706,143,47.2264150943396,95.1132075471698,0.001,0.5,0.001,0.16440606756205,0.001
9,4922,38.7881355932204,46.7040816326531,42.7461086129367,0.059661149202845,0.5,0.001,0.105744918359205,0.059661149202845
10,5072,56.8630136986302,57.7272727272727,57.2951432129514,0.0660987720363038,0.5,0.00904702854182348,0.112182541192664,0.0660987720363038
11,5229,50.1282051282052,48.9240506329114,49.5261278805583,0.0570918077800264,0.488741294679653,0.0203057338621702,0.103175576936386,0.0570918077800264
12,5392,50.7011494252874,49.0394736842105,49.870311554749,0.0695631827127887,0.4731520760137,0.035894952528123,0.115646951869149,0.0695631827127887
13,5545,50.4415584415585,53.2236842105263,51.8326213260424,0.0486253457161342,0.446979779767882,0.00972265628230487,0.136584788865803,0.0905010197094433
14,5707,49.2077922077922,64.2470588235294,56.7274255156608,0.001,0.5,0.001,0.25001503374511,0.20393126458875
15,5882,58.1625,61.3578947368421,59.760197368421,0.0251417991696025,0.469822751037997,0.0311772489620031,0.225873234575507,0.228073063758352
16,6103,55.0555555555556,54.4809160305343,54.7682357930449,0.020794616365288,0.47525672954339,0.0366112274673961,0.230220417379822,0.232420246562667
17,6291,51.5795454545454,55.85,53.7147727272727,0.001,0.434835309287793,0.0770326477229928,0.262557553584299,0.200083110358189
18,6482,65.5443037974683,56.1607142857143,60.8525090415913,0.001,0.5,0.165909480324235,0.191456087503305,0.128981644277195
19,6900,57.9342105263158,28,42.9671052631579,0.001,0.5,0.001,0.418360348576397,0.001
20,7078,57.7441860465116,52.1195652173913,54.9318756319515,0.0436412738577605,0.446698407677799,0.001,0.375719074718637,0.0436412738577605
21,7248,51.1204819277108,64.0459770114942,57.5832294696025,0.001,0.5,0.1234798245756,0.277735215058156,0.141625133518241
22,9200,39.9867724867725,35,37.4933862433862,0.0387933707065116,0.45275828661686,0.17072153795874,0.239941844351645,0.179418504224752
23,9381,70.2631578947368,53.9186046511628,62.0908812729498,0.12,0.5,0.0159487158345171,0.116123586652267,0.30323676192413
24,9541,59.3506493506494,65.7590361445783,62.5548427476138,0.0714811836150689,0.439351479518836,0.001,0.0676047702673355,0.254717945539199
25,9734,61.9716981132075,59.448275862069,60.7099869876382,0.0523895961564194,0.463215963842148,0.0248644843233119,0.086696357725985,0.273809532997849
26,9936,53.5573770491803,51.7875,52.6724385245901,0.0390103286368257,0.47994004824164,0.041588568722804,0.0733170902063913,0.287188800517442
27,10137,57.625,54.9256198347108,56.2753099173554,0.0593967948884116,0.5,0.0161054859083216,0.0529306239548054,0.266802334265857
28,10342,61.2470588235294,54.6,57.9235294117647,0.109544617567329,0.5,0.001,0.103078446633723,0.216654511586939
29,10516,60.6333333333333,56.7738095238095,58.7035714285714,0.12,0.46364443238272,0.001,0.0739939925398986,0.245738965680763
30,10683,56.1666666666667,62.5542168674699,59.3604417670683,0.12,0.5,0.0610951865950035,0.0259178432638958,0.197662816404761
31,10866,61.7802197802198,62.9239130434783,62.352066411849,0.12,0.5,0.0503491135803648,0.0345147016756067,0.206259674816472
32,11052,62.8888888888889,65.6875,64.2881944444444,0.12,0.5,0.024089567885356,0.0555223382316138,0.185252038260465
33,11256,59.6516853932585,55.5739130434782,57.6127992183684,0.12,0.5,0.001,0.0249566487497886,0.154686348778639
34,11427,54.4367816091954,58.0238095238095,56.2302955665025,0.0931529211444292,0.5,0.001,0.001,0.127839269923069
35,11525,28,26.8,27.4,0.0841854251802675,0.5,0.001,0.001,0.13680676588723
