# SPSA Success Log
t=2550 | iter=1 | score=150.0 | phase=plus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3128 | iter=1 | score=117.3 | phase=minus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3526 | iter=2 | score=123.8 | phase=plus | theta=[0.1200, 0.1658, 0.4267, 0.6952, 0.0010]
t=3820 | iter=2 | score=133.2 | phase=minus | theta=[0.1200, 0.1658, 0.4267, 0.6952, 0.0010]
t=4116 | iter=3 | score=134.5 | phase=plus | theta=[0.1200, 0.0880, 0.3490, 0.7574, 0.0010]
t=4415 | iter=3 | score=134.9 | phase=minus | theta=[0.1200, 0.0880, 0.3490, 0.7574, 0.0010]
t=4873 | iter=4 | score=144.2 | phase=minus | theta=[0.1173, 0.0847, 0.3456, 0.7600, 0.0010]
t=5595 | iter=5 | score=111.6 | phase=plus | theta=[0.0010, 0.5000, 0.0010, 0.1053, 0.0010]
t=6285 | iter=5 | score=113.6 | phase=minus | theta=[0.0010, 0.5000, 0.0010, 0.1053, 0.0010]
t=7150 | iter=6 | score=149.9 | phase=minus | theta=[0.0155, 0.4819, 0.0191, 0.1198, 0.0010]
