# SPSA Success Log
t=2550 | iter=1 | score=150.0 | phase=plus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3259 | iter=1 | score=108.9 | phase=minus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3622 | iter=2 | score=115.0 | phase=plus | theta=[0.1200, 0.1005, 0.4920, 1.0000, 0.0010]
t=4097 | iter=2 | score=117.2 | phase=minus | theta=[0.1200, 0.1005, 0.4920, 1.0000, 0.0010]
t=4850 | iter=3 | score=141.7 | phase=minus | theta=[0.1055, 0.0825, 0.5000, 0.9855, 0.0155]
t=5157 | iter=4 | score=110.7 | phase=plus | theta=[0.1200, 0.0010, 0.0010, 0.4593, 0.0010]
t=5457 | iter=4 | score=134.4 | phase=minus | theta=[0.1200, 0.0010, 0.0010, 0.4593, 0.0010]
t=6138 | iter=5 | score=114.1 | phase=plus | theta=[0.1200, 0.2090, 0.2090, 0.2929, 0.1674]
t=6784 | iter=5 | score=117.5 | phase=minus | theta=[0.1200, 0.2090, 0.2090, 0.2929, 0.1674]
t=7664 | iter=6 | score=110.3 | phase=minus | theta=[0.0955, 0.2396, 0.1784, 0.2684, 0.1919]
